Timestamp,Week,Node,Cell,PRB_Usage_Percentage
2024-05-25 22:00:00,2024-20,BTA El Ensueno,B28_5,83.2334
2024-05-23 21:00:00,2024-20,BTA El Ensueno,B28_5,82.8972
2024-05-22 19:00:00,2024-20,BTA El Ensueno,B28_5,82.051
2024-05-25 15:00:00,2024-20,BTA El Ensueno,B28_5,82.0312
2024-05-20 23:00:00,2024-20,BTA El Ensueno,B28_5,81.7112
2024-05-20 18:00:00,2024-20,BTA El Ensueno,B28_5,81.3276
2024-05-23 19:00:00,2024-20,BTA El Ensueno,B28_5,81.2056
2024-05-23 22:00:00,2024-20,BTA El Ensueno,B28_5,80.344
2024-05-25 09:00:00,2024-20,BTA El Ensueno,B28_5,79.7692
2024-05-21 19:00:00,2024-20,BTA El Ensueno,B28_5,79.4556
2024-05-21 22:00:00,2024-20,BTA El Ensueno,B28_5,79.2726
2024-05-21 21:00:00,2024-20,BTA El Ensueno,B28_5,78.5442
2024-05-25 16:00:00,2024-20,BTA El Ensueno,B28_5,78.4172
2024-05-25 11:00:00,2024-20,BTA El Ensueno,B28_5,78.3922
2024-05-24 20:00:00,2024-20,BTA El Ensueno,B28_5,76.6166
2024-05-24 21:00:00,2024-20,BTA El Ensueno,B28_5,75.8578
2024-05-20 22:00:00,2024-20,BTA El Ensueno,B28_5,75.4284
2024-05-25 14:00:00,2024-20,BTA El Ensueno,B28_5,75.2144
2024-05-24 22:00:00,2024-20,BTA El Ensueno,B28_5,74.842
2024-05-23 18:00:00,2024-20,BTA El Ensueno,B28_5,74.429
2024-05-25 19:00:00,2024-20,BTA El Ensueno,B28_5,74.0314
2024-05-20 17:00:00,2024-20,BTA El Ensueno,B28_5,73.4518
2024-05-24 17:00:00,2024-20,BTA El Ensueno,B28_5,73.2336
2024-05-22 21:00:00,2024-20,BTA El Ensueno,B28_6,98.3558
2024-05-25 19:00:00,2024-20,BTA El Ensueno,B28_6,97.5984
2024-05-22 20:00:00,2024-20,BTA El Ensueno,B28_6,97.2944
2024-05-24 22:00:00,2024-20,BTA El Ensueno,B28_6,97.0878
2024-05-25 22:00:00,2024-20,BTA El Ensueno,B28_6,96.9308
2024-05-22 22:00:00,2024-20,BTA El Ensueno,B28_6,96.8698
2024-05-21 21:00:00,2024-20,BTA El Ensueno,B28_6,96.786
2024-05-20 19:00:00,2024-20,BTA El Ensueno,B28_6,96.5126
2024-05-25 21:00:00,2024-20,BTA El Ensueno,B28_6,95.8694
2024-05-20 18:00:00,2024-20,BTA El Ensueno,B28_6,95.8164
2024-05-25 20:00:00,2024-20,BTA El Ensueno,B28_6,95.1058
2024-05-20 17:00:00,2024-20,BTA El Ensueno,B28_6,95.0454
2024-05-25 18:00:00,2024-20,BTA El Ensueno,B28_6,94.6018
2024-05-22 18:00:00,2024-20,BTA El Ensueno,B28_6,94.5808
2024-05-20 20:00:00,2024-20,BTA El Ensueno,B28_6,94.2008
2024-05-21 20:00:00,2024-20,BTA El Ensueno,B28_6,93.834
2024-05-23 21:00:00,2024-20,BTA El Ensueno,B28_6,93.7044
2024-05-22 19:00:00,2024-20,BTA El Ensueno,B28_6,93.335
2024-05-20 21:00:00,2024-20,BTA El Ensueno,B28_6,93.3076
2024-05-24 11:00:00,2024-20,BTA El Ensueno,B28_6,92.8058
2024-05-23 19:00:00,2024-20,BTA El Ensueno,B28_6,92.4376
2024-05-21 19:00:00,2024-20,BTA El Ensueno,B28_6,92.2372
2024-05-21 18:00:00,2024-20,BTA El Ensueno,B28_6,92.1636
