timestamp,node_name,cell_name,l_traffic_activeuser_dl_avg,l_traffic_activeuser_dl_max,l_traffic_activeuser_ul_avg,l_traffic_activeuser_dl_max_1,l_traffic_user_avg,l_traffic_user_max,l_chmeas_prb_dl_avail,l_chmeas_prb_dl_used_avg,l_chmeas_prb_ul_avail,l_chmeas_prb_ul_used_avg,l_thrp_bits_dl,l_thrp_bits_ul,dl_prb_usage,ul_prb_usage,user_exp
2024-05-20 06:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_4,1.3337,9,0.9534,9,12.725,23,50,31.0212,50,13.4259,12929831184,2665481928,62.0424,26.851800000000004,3.042032489425304
2024-05-20 06:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_5,0.5801,6,0.3683,6,10.1319,20,50,19.6053,50,7.1022,12346121120,629674008,39.2106,14.2044,6.801513552005945
2024-05-20 06:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_6,1.7428,11,1.5672,8,13.5511,25,50,37.0044,50,15.9647,13751612448,2086506184,74.0088,31.9294,2.5767184145316797
2024-05-20 06:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_1,1.5082,11,1.1835,9,33.0328,60,50,28.0217,50,15.3654,23240298224,2028978120,56.0434,30.7308,5.409606166658925
2024-05-20 06:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_2,0.5946,6,0.31,5,8.9706,21,50,19.7812,50,8.1933,22706949176,701877440,39.5624,16.3866,12.19606556760713
2024-05-20 06:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_3,0.6722,8,0.5965,6,15.0439,28,50,17.3089,50,10.0341,16967966768,1712401624,34.6178,20.0682,9.703809262194923
2024-05-20 07:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_3,0.5333,7,0.3698,7,14.1831,28,50,14.35,50,9.5125,11820939104,1249248344,28.7,19.025,9.681669719564796
2024-05-20 07:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_7,1.9751,12,1.6925,12,53.3668,79,50,31.0445,50,19.7239,44525462512,3334155760,62.08899999999999,39.4478,9.346111984607305
2024-05-20 07:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_8,0.8074,10,0.696,8,29.4362,43,50,20.1891,50,14.2348,24935798112,2381384256,40.3782,28.4696,12.18108839709256
2024-05-20 07:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_9,0.7711,8,0.5676,6,24.4243,36,50,18.3047,50,14.0576,18653579504,2104086032,36.6094,28.1152,10.100316531055206
2024-05-20 07:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_4,1.1746,9,0.994,8,14.0606,31,50,29.8696,50,11.9066,16399423456,827083752,59.73919999999999,23.8132,4.480147664003895
2024-05-20 07:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_5,0.7091,7,0.4477,6,12.1606,23,50,19.2319,50,9.7414,10114833064,829259320,38.4638,19.4828,5.188475584412866
2024-05-20 07:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_6,0.9028,9,0.8749,9,13.1375,28,50,23.2409,50,12.1528,11165376192,1995066400,46.4818,24.3056,4.407455645091627
2024-05-20 07:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_2,0.6878,9,0.362,6,13.6105,24,50,18.2845,50,8.7126,11083389360,793936384,36.569,17.4252,6.392660372501435
2024-05-20 07:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_1,1.9739,13,1.48,11,33.5866,51,50,34.3892,50,16.7507,31611297632,2710592280,68.7784,33.5014,5.491529992516411
2024-05-20 08:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_2,0.5749,6,0.3279,5,11.1108,21,50,17.6429,50,8.1094,12774784824,683190952,35.2858,16.2188,7.807879723256826
2024-05-20 08:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_1,1.5968,11,1.2463,12,35.1755,50,50,30.6229,50,14.5217,29335915872,2544662040,61.2458,29.0434,6.646543729223629
2024-05-20 08:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_6,1.2342,10,0.9974,8,15.3963,26,50,25.2067,50,12.7801,12890643712,1075751952,50.41340000000001,25.5602,4.0977975989378495
2024-05-20 08:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_5,1.1517,8,0.5657,6,14.0989,23,50,25.9186,50,10.1742,13376231048,894503488,51.8372,20.3484,4.010952455546635
2024-05-20 08:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_4,1.2303,10,0.9922,10,14.0378,29,50,31.5874,50,11.235,14777345048,1219360120,63.1748,22.47,3.861948543106029
2024-05-20 08:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_9,0.7335,10,0.5715,7,24.7901,38,50,16.4596,50,12.6446,17842695056,1570650424,32.9192,25.2892,10.896478031626396
2024-05-20 08:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_8,0.9028,11,0.5979,8,26.6159,43,50,20.8889,50,12.3956,24465606736,1616630800,41.7778,24.7912,10.840340043336534
2024-05-20 08:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_7,2.2565,19,1.6538,11,58.18,81,50,32.9841,50,21.2477,52715928032,5093306312,65.9682,42.4954,9.769494744756368
2024-05-20 08:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_3,0.6653,7,0.4725,6,12.398,24,50,17.3965,50,10.1333,19855300912,1065485920,34.793,20.2666,12.303052013448596
2024-05-20 09:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_9,0.9604,11,0.7548,8,25.4236,40,50,20.4341,50,14.0849,21936416168,1684758632,40.8682,28.1698,10.720921043282274
2024-05-20 09:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_3,0.8198,10,0.493,6,15.5622,29,50,17.2474,50,10.0132,15352602200,1331804632,34.4948,20.0264,8.316610732775933
2024-05-20 09:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_2,0.7671,8,0.4967,7,12.8489,25,50,19.5679,50,9.1907,19651970488,981691232,39.1358,18.3814,9.732250606078429
2024-05-20 09:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_1,1.7972,13,1.386,11,35.6253,53,50,32.1753,50,16.2946,29781535256,2760586160,64.3506,32.5892,5.898584850829812
2024-05-20 09:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_6,1.9747,11,1.3438,9,16.9219,27,50,35.162,50,15.0795,17282791544,1701044696,70.324,30.158999999999995,3.260347126881015
2024-05-20 09:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_5,0.9687,9,0.6981,8,12.9194,23,50,24.0128,50,10.4124,13347389896,1144781520,48.0256,20.8248,4.777392065772436
2024-05-20 09:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_7,2.5756,15,1.7228,13,58.01,77,50,32.3259,50,19.3865,44187293960,3408821792,64.6518,38.773,8.450098269213786
2024-05-20 09:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_8,0.9861,10,0.6515,7,26.8558,44,50,20.5857,50,13.4598,21532605520,2128921760,41.1714,26.9196,10.492088359655847
